full_path,path,class
/Users/polina/Documents/Programm-lab/dataset3/dataset/1441.jpg,dataset3/dataset/1441.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/6421.jpg,dataset3/dataset/6421.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/1886.jpg,dataset3/dataset/1886.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8837.jpg,dataset3/dataset/8837.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7773.jpg,dataset3/dataset/7773.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7356.jpg,dataset3/dataset/7356.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3223.jpg,dataset3/dataset/3223.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/5730.jpg,dataset3/dataset/5730.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/9865.jpg,dataset3/dataset/9865.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3028.jpg,dataset3/dataset/3028.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3001.jpg,dataset3/dataset/3001.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/2305.jpg,dataset3/dataset/2305.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3072.jpg,dataset3/dataset/3072.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/5503.jpg,dataset3/dataset/5503.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8193.jpg,dataset3/dataset/8193.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/4127.jpg,dataset3/dataset/4127.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8256.jpg,dataset3/dataset/8256.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7966.jpg,dataset3/dataset/7966.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3192.jpg,dataset3/dataset/3192.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/6291.jpg,dataset3/dataset/6291.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/1745.jpg,dataset3/dataset/1745.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/9324.jpg,dataset3/dataset/9324.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7089.jpg,dataset3/dataset/7089.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7087.jpg,dataset3/dataset/7087.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/7131.jpg,dataset3/dataset/7131.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3884.jpg,dataset3/dataset/3884.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/5029.jpg,dataset3/dataset/5029.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8749.jpg,dataset3/dataset/8749.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/2805.jpg,dataset3/dataset/2805.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8666.jpg,dataset3/dataset/8666.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/1021.jpg,dataset3/dataset/1021.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/1847.jpg,dataset3/dataset/1847.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/6232.jpg,dataset3/dataset/6232.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/5472.jpg,dataset3/dataset/5472.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/581.jpg,dataset3/dataset/581.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/2081.jpg,dataset3/dataset/2081.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3643.jpg,dataset3/dataset/3643.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/1697.jpg,dataset3/dataset/1697.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/5568.jpg,dataset3/dataset/5568.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/6056.jpg,dataset3/dataset/6056.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/3351.jpg,dataset3/dataset/3351.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/9582.jpg,dataset3/dataset/9582.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/8037.jpg,dataset3/dataset/8037.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset3/dataset/2552.jpg,dataset3/dataset/2552.jpg,dogs
