full_path,path,class
/Users/polina/Documents/Programm-lab/dataset/dogs/0071.jpg,dataset/dogs/0071.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0717.jpg,dataset/dogs/0717.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0703.jpg,dataset/dogs/0703.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0065.jpg,dataset/dogs/0065.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0059.jpg,dataset/dogs/0059.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0918.jpg,dataset/dogs/0918.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0930.jpg,dataset/dogs/0930.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0924.jpg,dataset/dogs/0924.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0515.jpg,dataset/dogs/0515.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0273.jpg,dataset/dogs/0273.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0267.jpg,dataset/dogs/0267.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0501.jpg,dataset/dogs/0501.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0529.jpg,dataset/dogs/0529.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0298.jpg,dataset/dogs/0298.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0461.jpg,dataset/dogs/0461.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0307.jpg,dataset/dogs/0307.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0313.jpg,dataset/dogs/0313.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0475.jpg,dataset/dogs/0475.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0449.jpg,dataset/dogs/0449.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0105.jpg,dataset/dogs/0105.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0663.jpg,dataset/dogs/0663.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0677.jpg,dataset/dogs/0677.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0111.jpg,dataset/dogs/0111.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0139.jpg,dataset/dogs/0139.jpg,dogs
/Users/polina/Documents/Programm-lab/dataset/dogs/0887.jpg,dataset/dogs/0887.jpg,dogs
