full_path,relative_path,class
/Users/polina/Documents/Programm-lab/dataset/cats/0071.jpg,cats/0071.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0717.jpg,cats/0717.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0703.jpg,cats/0703.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0065.jpg,cats/0065.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0059.jpg,cats/0059.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0918.jpg,cats/0918.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0930.jpg,cats/0930.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0924.jpg,cats/0924.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0515.jpg,cats/0515.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0273.jpg,cats/0273.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0267.jpg,cats/0267.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0501.jpg,cats/0501.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0529.jpg,cats/0529.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0298.jpg,cats/0298.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0461.jpg,cats/0461.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0307.jpg,cats/0307.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0313.jpg,cats/0313.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0475.jpg,cats/0475.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0449.jpg,cats/0449.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0105.jpg,cats/0105.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0663.jpg,cats/0663.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0677.jpg,cats/0677.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0111.jpg,cats/0111.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0139.jpg,cats/0139.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0887.jpg,cats/0887.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0893.jpg,cats/0893.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0878.jpg,cats/0878.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0844.jpg,cats/0844.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0688.jpg,cats/0688.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0850.jpg,cats/0850.jpg,cats
/Users/polina/Documents/Programm-lab/dataset/cats/0851.jpg,cats/0851.jpg,cats
