abs_path,rel_path,class
/Users/polina/Documents/Programm-lab/dataset2/cats_0432.jpg,cats_0432.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0354.jpg,cats_0354.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0340.jpg,cats_0340.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0426.jpg,cats_0426.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0368.jpg,cats_0368.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0397.jpg,cats_0397.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0383.jpg,cats_0383.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0156.jpg,cats_0156.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0630.jpg,cats_0630.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0624.jpg,cats_0624.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0142.jpg,cats_0142.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0618.jpg,cats_0618.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0195.jpg,cats_0195.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0181.jpg,cats_0181.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0817.jpg,cats_0817.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0803.jpg,cats_0803.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0022.jpg,cats_0022.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0744.jpg,cats_0744.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0750.jpg,cats_0750.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0988.jpg,cats_0988.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0036.jpg,cats_0036.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0778.jpg,cats_0778.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0787.jpg,cats_0787.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0793.jpg,cats_0793.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0963.jpg,cats_0963.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0977.jpg,cats_0977.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0546.jpg,cats_0546.jpg,cats
/Users/polina/Documents/Programm-lab/dataset2/cats_0220.jpg,cats_0220.jpg,cats
